title,author,img_path,subject
Atomic Habits,James Clear,Atomic Habits.jpg,Habit
Perfume,Patrick Süskind,Perfume.jpg,Historical fiction
How to win friends and influence people,Dale Carnegie,How to win friends and influence people.jpg,Succès
Who Moved My Cheese?,Spencer Johnson,WhoMovedMyCheese.jpg,Change (psychology)
The Alchemist,Paulo Coelho,TheAlchemist.jpg,Translations into Indonesian
Sapiens,Yuval Noah Harari,Sapiens.jpg,Technology and civilization
Never Split the Difference,Chris Voss,NeverSplittheDifference.jpg,Hostage negotiations
The Richest Man in Babylon,George S. Clason,TheRichestManinBabylon.jpg,Business ethics
Ego is the Enemy,Ryan Holiday,EgoistheEnemy.jpg,Conduct of life
The obstacle is the way,Ryan Holiday,Theobstacleistheway.jpg,Self-realization
Stillness is the Key,Ryan Holiday,StillnessistheKey.jpg,Stoicism
The daily stoic,Ryan Holiday,Thedailystoic.jpg,Meditations
On the Shortness of Life,Lucius Annaeus Seneca,OntheShortnessofLife.jpg,Stoicism
What every BODY is saying,Joe Navarro,WhateveryBODYissaying.jpg,Nonverbal communication
How to Talk to Anyone,Leil Lowndes,HowtoTalktoAnyone.jpg,Interpersonal communication
Discipline is Destiny,Ryan Holiday,DisciplineisDestiny.jpg,Stoicism
Ikigai,Héctor García,Ikigai.jpg,Ikigai
The Art of Statistics,David Spiegelhalter,TheArtofStatistics.jpg,Statistics
The monk who sold his Ferrari,Robin S. Sharma,ThemonkwhosoldhisFerrari.jpg,Fiction
The Almanack of Naval Ravikant,Eric Jorgenson,TheAlmanackofNavalRavikant.jpg,Self-Development
When Nietzsche wept,Irvin D. Yalom,WhenNietzschewept.jpg,Fiction
Schachnovelle,Stefan Zweig,Schachnovelle.jpg,Chess
Animal Farm,George Orwell,AnimalFarm.jpg,Fiction
One Hundred Years of Solitude,Gabriel García Márquez,OneHundredYears.jpg,Spanish language books
